#tskit=0.5.3
#tsinfer=0.2.4.dev63+gd36be42
#in_imputed_file=../analysis/pass_3/from_42_into_3.imputed.trees
#in_true_samples_file=../analysis/sisu3/sisu3_merged_nochip_chr20_p_arm.samples
#in_reference_trees_file=../analysis/pass_3/chr20_p_arm.inferred.trees
#remove_leaves=False
#in_chip_file=../data/fimm/chip_positions_chr20.txt
#out_csv_file=../analysis/pass_3/examine_2.imputation.results.csv
#min_maf=0.05
#min_iqs=-inf
#max_iqs=0.9
#flip_alleles=False
#num_sites_data_imputed=136085
#num_sites_sd_true=125155
#num_sites_ts_ref=164061
#num_sites_ts_anc=134667
#num_chip_sites_all=18067
#num_chip_sites=4306
#num_mask_sites=97114
position,ref_minor_allele_index,ref_minor_allele_freq,imputed_minor_allele_index,imputed_minor_allele_freq,iqs,num_muts,is_aa_ref,is_aa_parsimonious,prop_wrong_alleles_0
227248.0000000000,1.0000000000,0.3816927753,1.0000000000,0.3883374690,0.7838164880,1.0000000000,1.0000000000,1.0000000000,0.5270935961
230234.0000000000,1.0000000000,0.3820434884,1.0000000000,0.3854425145,0.7986757774,1.0000000000,1.0000000000,1.0000000000,0.4893617021
231070.0000000000,1.0000000000,0.3846153846,1.0000000000,0.3891645988,0.7923292108,1.0000000000,1.0000000000,1.0000000000,0.4871794872
231710.0000000000,1.0000000000,0.4723521160,1.0000000000,0.4545078577,0.8680317448,1.0000000000,0.0000000000,1.0000000000,0.3606557377
231898.0000000000,1.0000000000,0.4972527473,1.0000000000,0.4743589744,0.8298866496,1.0000000000,1.0000000000,1.0000000000,0.4102564103
231900.0000000000,1.0000000000,0.4931026420,1.0000000000,0.4689826303,0.8308637900,1.0000000000,1.0000000000,1.0000000000,0.4129032258
233732.0000000000,1.0000000000,0.4665068974,1.0000000000,0.4627791563,0.8858934393,1.0000000000,0.0000000000,1.0000000000,0.4230769231
234441.0000000000,1.0000000000,0.3711129296,1.0000000000,0.3875103391,0.8855802755,1.0000000000,1.0000000000,1.0000000000,0.5490196078
236170.0000000000,1.0000000000,0.4661561842,1.0000000000,0.4623655914,0.8870122445,1.0000000000,0.0000000000,1.0000000000,0.4134615385
236433.0000000000,0.0000000000,0.4023848492,0.0000000000,0.4234904880,0.8854279704,1.0000000000,0.0000000000,1.0000000000,0.4174757282
